LAT;LONG;ALT
-36,828732;149,699443;225
-36,828723;149,699826;237
-36,828715;149,700209;257
-36,828706;149,700592;262
-36,828697;149,700974;262
-36,828689;149,701357;262
-36,828680;149,701740;254
-36,828671;149,702122;254
-36,828663;149,702505;243
-36,828654;149,702888;243
-36,828645;149,703271;227
-36,828636;149,703653;227
-36,828628;149,704036;219
-36,828619;149,704419;219
-36,828610;149,704801;222
-36,828602;149,705184;222
-36,828593;149,705567;230
-36,828584;149,705950;230
-36,828575;149,706332;239
-36,828567;149,706715;239
-36,828558;149,707098;239
-36,828549;149,707480;248
-36,828541;149,707863;248
-36,828532;149,708246;243
-36,828523;149,708629;243
-36,828514;149,709011;238
-36,828506;149,709394;238
-36,828497;149,709777;246
-36,828488;149,710159;246
-36,828479;149,710542;247
-36,828471;149,710925;247
-36,828462;149,711308;247
-36,828453;149,711690;253
-36,828444;149,712073;253
-36,828436;149,712456;264
-36,828427;149,712838;264
-36,828418;149,713221;257
-36,828410;149,713604;257
-36,828401;149,713987;237
-36,828392;149,714369;237
-36,828383;149,714752;219
-36,828375;149,715135;219
-36,828366;149,715517;210
-36,828357;149,715900;210
-36,828348;149,716283;210
-36,828340;149,716666;214
-36,828331;149,717048;214
-36,828322;149,717431;216
-36,828313;149,717814;216
-36,828305;149,718196;225
-36,828296;149,718579;225
-36,829239;149,690652;246
-36,829231;149,691034;246
-36,829222;149,691417;234
-36,829213;149,691800;234
-36,829205;149,692182;234
-36,829196;149,692565;222
-36,829187;149,692948;222
-36,829179;149,693331;207
-36,829170;149,693713;207
-36,829161;149,694096;203
-36,829153;149,694479;203
-36,829144;149,694861;216
-36,829135;149,695244;216
-36,829127;149,695627;221
-36,829118;149,696010;221
-36,829109;149,696392;216
-36,829101;149,696775;216
-36,829092;149,697158;218
-36,829083;149,697541;218
-36,829075;149,697923;218
-36,829066;149,698306;219
-36,829057;149,698689;219
-36,829048;149,699071;225
-36,829040;149,699454;225
-36,829031;149,699837;237
-36,829022;149,700220;237
-36,829014;149,700602;244
-36,829005;149,700985;244
-36,828996;149,701368;244
-36,828988;149,701750;250
-36,828979;149,702133;250
-36,828970;149,702516;243
-36,828961;149,702899;243
-36,828953;149,703281;229
-36,828944;149,703664;229
-36,828935;149,704047;224
-36,828927;149,704430;224
-36,828918;149,704812;229
-36,828909;149,705195;229
-36,828900;149,705578;232
-36,828892;149,705960;232
-36,828883;149,706343;234
-36,828874;149,706726;234
-36,828866;149,707109;234
-36,828857;149,707491;239
-36,828848;149,707874;239
-36,828839;149,708257;245
-36,828831;149,708639;245
-36,828822;149,709022;254
-36,828813;149,709405;254
-36,828805;149,709788;257
-36,828796;149,710170;257
-36,828787;149,710553;237
-36,828778;149,710936;258
-36,828770;149,711318;258
-36,828761;149,711701;252
-36,828752;149,712084;252
-36,828743;149,712467;265
-36,828735;149,712849;265
-36,828726;149,713232;269
-36,828717;149,713615;257
-36,828708;149,713997;237
-36,828700;149,714380;237
-36,828691;149,714763;219
-36,828682;149,715146;219
-36,828673;149,715528;210
-36,828665;149,715911;210
-36,828656;149,716294;210
-36,828647;149,716676;214
-36,828638;149,717059;214
-36,828630;149,717442;216
-36,828621;149,717825;216
-36,828612;149,718207;225
-36,828603;149,718590;225
-36,829547;149,690662;249
-36,829538;149,691045;246
-36,829530;149,691428;234
-36,829521;149,691810;234
-36,829512;149,692193;234
-36,829504;149,692576;222
-36,829495;149,692959;222
-36,829486;149,693341;207
-36,829478;149,693724;207
-36,829469;149,694107;203
-36,829460;149,694490;203
-36,829452;149,694872;216
-36,829443;149,695255;216
-36,829434;149,695638;221
-36,829426;149,696020;221
-36,829417;149,696403;216
-36,829408;149,696786;216
-36,829400;149,697169;218
-36,829391;149,697551;218
-36,829382;149,697934;218
-36,829374;149,698317;219
-36,829365;149,698700;219
-36,829356;149,699082;225
-36,829347;149,699465;225
-36,829339;149,699848;237
-36,829330;149,700230;237
-36,829321;149,700613;244
-36,829313;149,700996;244
-36,829304;149,701379;250
-36,829295;149,701761;250
-36,829287;149,702144;250
-36,829278;149,702527;243
-36,829269;149,702909;243
-36,829260;149,703292;229
-36,829252;149,703675;229
-36,829243;149,704058;224
-36,829234;149,704440;224
-36,829226;149,704823;229
-36,829217;149,705206;229
-36,829208;149,705589;232
-36,829199;149,705971;232
-36,829191;149,706354;234
-36,829182;149,706737;234
-36,829173;149,707119;234
-36,829165;149,707502;239
-36,829156;149,707885;239
-36,829147;149,708268;245
-36,829138;149,708650;245
-36,829130;149,709033;254
-36,829121;149,709416;254
-36,829112;149,709798;257
-36,829103;149,710181;257
-36,829095;149,710564;258
-36,829086;149,710947;258
-36,829077;149,711329;258
-36,829069;149,711712;252
-36,829060;149,712095;252
-36,829051;149,712477;265
-36,829042;149,712860;265
-36,829034;149,713243;269
-36,829025;149,713626;269
-36,829016;149,714008;254
-36,829007;149,714391;254
-36,828999;149,714774;231
-36,828990;149,715157;231
-36,828981;149,715539;233
-36,828972;149,715922;233
-36,828964;149,716305;233
-36,828955;149,716687;237
-36,828946;149,717070;237
-36,828937;149,717453;234
-36,828929;149,717836;234
-36,828920;149,718218;235
-36,828911;149,718601;235
-36,829855;149,690673;249
-36,829846;149,691056;249
-36,829837;149,691439;233
-36,829829;149,691821;233
-36,829820;149,692204;221
-36,829811;149,692587;221
-36,829803;149,692969;221
-36,829794;149,693352;213
-36,829785;149,693735;213
-36,829777;149,694118;204
-36,829768;149,694500;204
-36,829759;149,694883;210
-36,829751;149,695266;210
-36,829742;149,695649;217
-36,829733;149,696031;217
-36,829725;149,696414;222
-36,829716;149,696797;222
-36,829707;149,697179;230
-36,829699;149,697562;230
-36,829690;149,697945;230
-36,829681;149,698328;232
-36,829672;149,698710;232
-36,829664;149,699093;225
-36,829655;149,699476;225
