LONG;LAT
149.7040148093;-36.8280128503
149.7043975248;-36.8280041397
149.7047802402;-36.8279954279
149.7051629554;-36.8279867149
149.7055456705;-36.8279780007
149.7059283853;-36.8279692852
149.7063111001;-36.8279605685
149.7066938146;-36.8279518506
149.707076529;-36.8279431315
149.7074592432;-36.8279344111
149.7078419573;-36.8279256895
149.7082246712;-36.8279169666
149.7086073849;-36.8279082425
149.7089900984;-36.8278995172
149.7093728118;-36.8278907907
149.7097555251;-36.8278820629
149.7101382381;-36.8278733339
149.710520951;-36.8278646037
149.7109036638;-36.8278558722
149.7112863764;-36.8278471396
149.7116690888;-36.8278384056
149.712051801;-36.8278296705
149.7124345131;-36.8278209341
149.712817225;-36.8278121965
149.7131999367;-36.8278034577
149.7135826483;-36.8277947176
149.7139653597;-36.8277859763
149.714348071;-36.8277772338
149.7147307821;-36.82776849
149.715113493;-36.827759745
149.7154962038;-36.8277509988
149.7158789144;-36.8277422514
149.7162616248;-36.8277335027
149.716644335;-36.8277247528
149.7170270451;-36.8277160016
149.7174097551;-36.8277072493
149.7177924648;-36.8276984957
149.7181751744;-36.8276897408
149.7185578839;-36.8276809848
149.6906304433;-36.8286246108
149.6910131661;-36.8286159432
149.6913958887;-36.8286072744
149.6917786112;-36.8285986044
149.6921613335;-36.8285899331
149.6925440557;-36.8285812606
149.6929267777;-36.8285725868
149.6933094995;-36.8285639119
149.6936922212;-36.8285552357
149.6940749427;-36.8285465582
149.694457664;-36.8285378796
149.6948403852;-36.8285291997
149.6952231062;-36.8285205186
149.695605827;-36.8285118362
149.6959885477;-36.8285031527
149.6963712682;-36.8284944678
149.6967539886;-36.8284857818
149.6971367088;-36.8284770945
149.6975194288;-36.828468406
149.6979021486;-36.8284597163
149.6982848683;-36.8284510253
149.6986675879;-36.8284423331
149.6990503072;-36.8284336397
149.6994330264;-36.8284249451
149.6998157455;-36.8284162492
149.7001984643;-36.8284075521
149.7005811831;-36.8283988537
149.7009639016;-36.8283901542
149.70134662;-36.8283814534
149.7017293382;-36.8283727513
149.7021120562;-36.8283640481
149.7024947741;-36.8283553436
149.7028774919;-36.8283466379
149.7032602094;-36.8283379309
149.7036429268;-36.8283292227
149.704025644;-36.8283205133
149.7044083611;-36.8283118027
149.704791078;-36.8283030908
149.7051737947;-36.8282943777
149.7055565113;-36.8282856634
149.7059392277;-36.8282769478
149.706321944;-36.828268231
149.7067046601;-36.828259513
149.707087376;-36.8282507937
149.7074700917;-36.8282420733
149.7078528073;-36.8282333515
149.7082355227;-36.8282246286
149.708618238;-36.8282159044
149.7090009531;-36.828207179
149.709383668;-36.8281984524
149.7097663828;-36.8281897245
149.7101490974;-36.8281809954
149.7105318118;-36.8281722651
149.710914526;-36.8281635335
149.7112972402;-36.8281548008
149.7116799541;-36.8281460667
149.7120626679;-36.8281373315
149.7124453815;-36.828128595
149.7128280949;-36.8281198573
149.7132108082;-36.8281111184
149.7135935213;-36.8281023782
149.7139762342;-36.8280936368
149.714358947;-36.8280848942
149.7147416596;-36.8280761504
149.7151243721;-36.8280674053
149.7155070844;-36.828058659
149.7158897965;-36.8280499114
149.7162725085;-36.8280411626
149.7166552203;-36.8280324126
149.7170379319;-36.8280236614
149.7174206433;-36.8280149089
149.7178033546;-36.8280061552
149.7181860658;-36.8279974003
149.7185687767;-36.8279886441
149.6906412247;-36.8289322772
149.691023949;-36.8289236095
149.6914066732;-36.8289149406
149.6917893972;-36.8289062705
149.6921721211;-36.8288975991
149.6925548447;-36.8288889265
149.6929375683;-36.8288802527
149.6933202916;-36.8288715776
149.6937030148;-36.8288629013
149.6940857378;-36.8288542238
149.6944684607;-36.828845545
149.6948511834;-36.828836865
149.6952339059;-36.8288281838
149.6956166283;-36.8288195014
149.6959993505;-36.8288108177
149.6963820726;-36.8288021328
149.6967647944;-36.8287934467
149.6971475161;-36.8287847593
149.6975302377;-36.8287760707
149.6979129591;-36.8287673809
149.6982956803;-36.8287586898
149.6986784014;-36.8287499975
149.6990611223;-36.828741304
149.699443843;-36.8287326093
149.6998265636;-36.8287239133
149.700209284;-36.8287152161
149.7005920042;-36.8287065176
149.7009747243;-36.828697818
149.7013574442;-36.8286891171
149.7017401639;-36.828680415
149.7021228835;-36.8286717116
149.7025056029;-36.828663007
149.7028883222;-36.8286543012
149.7032710413;-36.8286455941
149.7036537602;-36.8286368859
149.704036479;-36.8286281763
149.7044191976;-36.8286194656
149.704801916;-36.8286107536
149.7051846342;-36.8286020404
149.7055673524;-36.828593326
149.7059500703;-36.8285846104
149.7063327881;-36.8285758935
149.7067155057;-36.8285671753
149.7070982231;-36.828558456
149.7074809404;-36.8285497354
149.7078636575;-36.8285410136
149.7082463745;-36.8285322906
149.7086290912;-36.8285235663
149.7090118079;-36.8285148408
149.7093945243;-36.8285061141
149.7097772406;-36.8284973861
149.7101599567;-36.8284886569
149.7105426727;-36.8284799265
149.7109253885;-36.8284711948
149.7113081041;-36.828462462
149.7116908196;-36.8284537278
149.7120735349;-36.8284449925
149.71245625;-36.8284362559
149.712838965;-36.8284275181
149.7132216798;-36.8284187791
149.7136043944;-36.8284100388
149.7139871089;-36.8284012973
149.7143698232;-36.8283925546
149.7147525374;-36.8283838107
149.7151352513;-36.8283750655
149.7155179652;-36.8283663191
149.7159006788;-36.8283575714
149.7162833923;-36.8283488226
149.7166661056;-36.8283400725
149.7170488188;-36.8283313211
149.7174315318;-36.8283225686
149.7178142446;-36.8283138148
149.7181969572;-36.8283050597
149.7185796697;-36.8282963035
149.6906520063;-36.8292399436
149.6910347321;-36.8292312758
149.6914174578;-36.8292226068
149.6918001834;-36.8292139366
149.6921829087;-36.8292052651
